mot_positif,score_positif,mot_negatif,score_negatif,mot_neutre,score_neutre
great,0.017005380147638634,disappointed,0.00750198531766192,would,0.008042099464387331
love,0.015108213256109561,money,0.007092737582426402,however,0.006035016253209885
best,0.010084711106817381,bad,0.006812985894328644,coffee,0.005801320176651054
delicious,0.007801379653965946,would,0.006762547828730529,taste,0.005530763941220009
perfect,0.006966385798633118,box,0.006556951009725871,flavor,0.005245568745679028
favorite,0.006622237344916948,taste,0.006132778996424653,bad,0.004748301099990002
snack,0.00577993595268448,waste,0.005740465552095147,like,0.0046675283112430285
highly,0.005197389983563514,product,0.00571229836718927,okay,0.00453239371609733
easy,0.0051557868334234005,thought,0.005388925794597464,thought,0.004311500425675726
excellent,0.005067421829100102,return,0.005118650906642098,think,0.004295202651848474
find,0.005009113496022812,review,0.005011915604976913,probably,0.004214350540992376
wonderful,0.004919956870357748,awful,0.00487916250484053,much,0.0041552436972113835
good,0.004762087377234148,away,0.0048645931512758395,bit,0.004147020121335819
tea,0.004530834618617901,horrible,0.004789083975904393,star,0.004056620295103483
make,0.004183754895795736,worst,0.004699100383889021,though,0.0038843710212154775
